year,S001
1919,4.9412
1920,5.1746
1921,3.9786
1922,5.0646
1923,6.0362
1924,5.6548
1925,6.2292
1926,6.5905
1927,6.5860
1928,6.8575
1929,7.6115
1930,6.3235
1931,5.2374
1932,4.0885
1933,4.8425
1934,5.2486
1935,6.0789
1936,7.1739
1937,7.8583
1938,6.2135
1939,7.6250
1940,8.8075
1941,11.1233
1942,12.7637
1943,15.5035
1944,16.6659
1945,14.2649
1946,12.3283
1947,13.8744
1948,14.4601
1949,13.6523
1950,15.8042
1951,17.1416
1952,17.8103
1953,19.3048
1954,18.2120
1955,20.5412
1956,21.4298
1957,21.7350
1958,20.3258
1959,22.7560
1960,23.2699
1961,23.4247
1962,25.3769
1963,26.9320
1964,28.7451
1965,31.6017
1966,34.3977
1967,35.1402
1968,37.0922
1969,38.8141
1970,37.5342
1971,38.0473
1972,41.7062
1973,45.1315
1974,45.0197
1975,41.0052
1976,44.2323
1977,47.6179
1978,50.2340
1979,51.7384
1980,50.4092
1981,51.0492
1982,48.3966
1983,49.7212
1984,54.1542
1985,54.8216
1986,55.3682
1987,58.2505
1988,61.2685
1989,61.8182
1990,62.4046
1991,61.4172
1992,63.1799
1993,65.2627
1994,68.7036
1995,71.9404
1996,75.2524
1997,80.7444
1998,85.4826
1999,89.3241
2000,92.5072
2001,89.7503
2002,90.0246
2003,91.2577
2004,93.5959
2005,96.7388
2006,98.9953
2007,101.5720
2008,98.1173
2009,86.8996
2010,91.7370
2011,94.6396
2012,97.5409
2013,99.4844
2014,102.4476
2015,100.9719
2016,98.7988
2017,100.0000
2018,103.1630
2019,102.3463
2020,95.0885
2021,99.2876
2022,100.9800
2023,100.7643
2024,100.1058
2025,101.2281
2026,101.9692
